Symbol,Date,Open,High,Low,Close,Volume
MSFT,2023-11-16,370.95999,376.35001,370.17999,376.17001,27182300
MSFT,2023-11-17,373.60999,374.37,367.0,369.85001,40157000
MSFT,2023-11-20,371.22,378.87,371.0,377.44,52465100
MSFT,2023-11-21,375.67001,376.22,371.12,373.070007,28423100
MSFT,2023-11-22,378.0,379.79001,374.97,377.85001,23345300
MSFT,2023-11-24,377.32999,377.97,375.14001,377.42999,10176600
MSFT,2023-11-27,376.78,380.64001,376.20001,378.60999,22179200
MSFT,2023-11-28,378.35001,383.0,378.16,382.70001,20453100
MSFT,2023-11-29,383.76001,384.29999,377.44,378.85001,28963400
MSFT,2023-11-30,378.48999,380.089996,375.47,378.91,30554400
MSFT,2023-12-01,376.76001,378.16,371.31,374.51001,33020400
MSFT,2023-12-04,369.10001,369.51999,362.89999,369.14001,32063300
MSFT,2023-12-05,366.45001,373.079987,365.62,372.51999,23065000
MSFT,2023-12-06,373.54001,374.17999,368.029999,368.79999,21182100
MSFT,2023-12-07,368.23001,371.45001,366.32001,370.95001,23118900
MSFT,2023-12-08,369.20001,374.45999,368.23001,374.23001,20144800
MSFT,2023-12-11,368.48001,371.60001,366.10001,371.29999,27708800
MSFT,2023-12-12,370.85001,374.42001,370.45999,374.38,24838300
MSFT,2023-12-13,376.019989,377.64001,370.76999,374.37,30955500
MSFT,2023-12-14,373.31,373.76001,364.13,365.92999,43277500
MSFT,2023-12-15,366.85001,372.39999,366.28,370.73001,78478200
MSFT,2023-12-18,369.45001,373.0,368.67999,372.64999,21802900
MSFT,2023-12-19,371.48999,373.26001,369.84,373.26001,20603700
MSFT,2023-12-20,375.0,376.029999,370.53,370.62,26316700
MSFT,2023-12-21,372.56,374.41,370.040009,373.54001,17708000
MSFT,2023-12-22,373.67999,375.17999,372.70999,374.57999,17091100
MSFT,2023-12-26,375.0,376.94,373.5,374.66,12673100
MSFT,2023-12-27,373.69,375.059998,372.81,374.070007,14905400
MSFT,2023-12-28,375.37,376.45999,374.16,375.28,14327000
MSFT,2023-12-29,376.0,377.16,373.48001,376.040009,18723000
MSFT,2024-01-02,373.85999,375.89999,366.76999,370.87,25258600
MSFT,2024-01-03,369.01001,373.26001,368.51001,370.60001,23083500
MSFT,2024-01-04,370.67001,373.10001,367.17001,367.94,20901500
MSFT,2024-01-05,368.97,372.059998,366.5,367.75,20987000
MSFT,2024-01-08,369.29999,375.20001,369.01001,374.69,23134000
MSFT,2024-01-09,372.01001,375.98999,371.19,375.79001,20830000
MSFT,2024-01-10,376.37,384.17001,376.32001,382.76999,25514200
MSFT,2024-01-11,386.0,390.67999,380.38,384.63,27850800
MSFT,2024-01-12,385.48999,388.67999,384.64999,388.47,21645700
MSFT,2024-01-16,393.66,394.029999,387.62,390.26999,27202300
MSFT,2024-01-17,387.98001,390.10999,384.81,389.47,22234100
MSFT,2024-01-18,391.72,393.98999,390.12,393.87,23392100
MSFT,2024-01-19,395.76001,398.67001,393.5,398.67001,29272000
MSFT,2024-01-22,400.019989,400.62,393.59,396.51001,27016900
MSFT,2024-01-23,395.75,399.38,393.92999,398.89999,20525900
MSFT,2024-01-24,401.54001,405.63,400.45001,402.56,24867000
MSFT,2024-01-25,404.32001,407.01001,402.53,404.87,21021200
MSFT,2024-01-26,404.37,406.17001,402.42999,403.92999,17803300
MSFT,2024-01-29,406.059998,409.98001,404.32999,409.72,24510200
MSFT,2024-01-30,412.26001,413.049988,406.45001,408.59,33477600
MSFT,2024-01-31,406.95999,415.32001,397.20999,397.57999,47871100
MSFT,2024-02-01,401.82999,408.0,401.79999,403.78,30657700
MSFT,2024-02-02,403.81,412.64999,403.56,411.22,28245000
MSFT,2024-02-05,409.89999,411.16,403.98999,405.64999,25352300
MSFT,2024-02-06,405.88,407.97,402.91,405.48999,18382600
MSFT,2024-02-07,407.44,414.29999,407.39999,414.049988,22340500
MSFT,2024-02-08,414.049988,415.56,412.53,414.10999,21225300
MSFT,2024-02-09,415.25,420.82001,415.089996,420.54999,22032800
MSFT,2024-02-12,420.56,420.73999,414.75,415.26001,21202900
MSFT,2024-02-13,404.94,410.070007,403.39001,406.32001,27824900
MSFT,2024-02-14,408.070007,409.84,404.57001,409.48999,20401200
MSFT,2024-02-15,408.14001,409.13,404.29001,406.56,21825500
MSFT,2024-02-16,407.95999,408.29001,403.44,404.059998,22281100
MSFT,2024-02-20,403.23999,404.48999,398.01001,402.79001,24307900
MSFT,2024-02-21,400.17001,402.29001,397.22,402.17999,18631100
MSFT,2024-02-22,410.19,412.82999,408.57001,411.64999,27009900
MSFT,2024-02-23,415.67001,415.85999,408.97,410.34,16295900
MSFT,2024-02-26,411.45999,412.16,407.35999,407.54001,16193500
MSFT,2024-02-27,407.98999,408.32001,403.85001,407.48001,14835800
MSFT,2024-02-28,408.17999,409.29999,405.32001,407.72,13183100
MSFT,2024-02-29,408.64001,414.20001,405.92001,413.64001,31947300
MSFT,2024-03-01,411.26999,415.87,410.88,415.5,17800300
MSFT,2024-03-04,413.44,417.35001,412.32001,414.92001,17596000
MSFT,2024-03-05,413.95999,414.25,400.64001,402.64999,26919200
MSFT,2024-03-06,402.97,405.16,398.39001,402.089996,22344100
MSFT,2024-03-07,406.12,409.78,402.23999,409.14001,18718500
MSFT,2024-03-08,407.95999,410.42001,404.32999,406.22,17971700
MSFT,2024-03-11,403.76001,405.67999,401.26001,404.51999,16120800
MSFT,2024-03-12,407.62,415.57001,406.79001,415.28,22457000
MSFT,2024-03-13,418.10001,418.17999,411.45001,415.10001,17115900
MSFT,2024-03-14,420.23999,427.82001,417.98999,425.22,34157300
MSFT,2024-03-15,419.29001,422.60001,412.79001,416.42001,45049800
MSFT,2024-03-18,414.25,420.73001,413.78,417.32001,20106000
