Symbol,Date,Open,High,Low,Close,Volume
ORCL,2023-11-16,113.76,115.87,113.47,114.67,7476100
ORCL,2023-11-17,114.61,115.64,114.16,115.36,4791300
ORCL,2023-11-20,115.65,117.15,115.51,116.92,5728300
ORCL,2023-11-21,117.21,117.67,115.68,116.080002,5995300
ORCL,2023-11-22,116.7,117.29,115.51,116.24,4343700
ORCL,2023-11-24,116.49,116.59,115.34,116.25,2168200
ORCL,2023-11-27,116.010002,116.77,115.45,116.47,5165300
ORCL,2023-11-28,116.0,116.8,115.87,116.24,4892600
ORCL,2023-11-29,117.34,117.58,115.96,116.21,6127200
ORCL,2023-11-30,116.86,117.23,115.18,116.21,11075600
ORCL,2023-12-01,116.07,117.35,115.26,117.16,5738000
ORCL,2023-12-04,116.27,116.68,114.55,115.78,5587500
ORCL,2023-12-05,114.57,115.27,113.81,114.53,5913600
ORCL,2023-12-06,114.94,114.99,111.93,112.029999,7815700
ORCL,2023-12-07,112.41,113.029999,111.81,112.87,6772800
ORCL,2023-12-08,112.010002,113.64,111.59,113.61,7753900
ORCL,2023-12-11,113.77,115.35,113.61,115.13,19544200
ORCL,2023-12-12,102.7,104.95,100.69,100.81,57666500
ORCL,2023-12-13,101.080002,103.099998,99.26,102.99,29392200
ORCL,2023-12-14,101.87,102.25,99.87,100.31,22865200
ORCL,2023-12-15,99.69,103.99,99.36,103.32,30198200
ORCL,2023-12-18,103.41,106.16,102.91,105.0,13473100
ORCL,2023-12-19,104.98,106.34,104.8,106.25,10108500
ORCL,2023-12-20,105.95,106.089996,104.050003,104.15,9242000
ORCL,2023-12-21,104.7,105.93,104.52,105.86,8168000
ORCL,2023-12-22,105.7,106.49,105.46,106.2,5678300
ORCL,2023-12-26,106.52,106.65,105.34,106.19,5767400
ORCL,2023-12-27,106.32,106.33,105.56,105.94,5627400
ORCL,2023-12-28,106.010002,106.61,105.58,106.25,5689100
ORCL,2023-12-29,106.6,106.92,104.78,105.43,6897200
ORCL,2024-01-02,104.52,104.68,102.44,104.059998,9597500
ORCL,2024-01-03,103.3,103.38,101.74,102.46,9455600
ORCL,2024-01-04,102.77,103.36,102.4,102.59,6822300
ORCL,2024-01-05,102.53,103.72,102.29,102.73,6131500
ORCL,2024-01-08,102.94,104.77,102.13,104.66,7038700
ORCL,2024-01-09,103.85,104.48,103.29,103.63,6725200
ORCL,2024-01-10,103.089996,104.07,102.72,103.92,7270500
ORCL,2024-01-11,104.35,104.84,103.54,104.77,6119000
ORCL,2024-01-12,105.099998,106.7,104.97,106.6,9696700
ORCL,2024-01-16,106.41,106.66,105.42,106.57,7547200
ORCL,2024-01-17,106.46,107.5,105.68,106.43,7771500
ORCL,2024-01-18,106.99,108.88,106.62,108.7,10362300
ORCL,2024-01-19,109.32,110.22,109.019997,109.67,11121300
ORCL,2024-01-22,110.059998,110.69,109.27,110.099998,7485300
ORCL,2024-01-23,110.29,112.68,109.56,111.83,9185900
ORCL,2024-01-24,113.42,115.42,113.33,114.31,11702700
ORCL,2024-01-25,114.89,116.18,114.35,115.0,8877200
ORCL,2024-01-26,114.64,115.48,114.27,114.64,5541800
ORCL,2024-01-29,114.19,114.59,113.010002,113.75,7014400
ORCL,2024-01-30,113.36,114.4,112.63,114.16,8231900
ORCL,2024-01-31,113.81,114.27,111.67,111.7,7386700
