Symbol,Date,Open,High,Low,Close,Volume
GOOGL,2023-11-16,135.19,137.22,134.32001,136.92999,28013200
GOOGL,2023-11-17,136.0,136.059998,133.64999,135.31,37240600
GOOGL,2023-11-20,133.69,136.66,133.62,136.25,27815500
GOOGL,2023-11-21,136.28999,137.17999,135.96001,136.97,22635300
GOOGL,2023-11-22,137.47,139.42,137.47,138.49001,17813900
GOOGL,2023-11-24,138.029999,138.13,135.99001,136.69,12514300
GOOGL,2023-11-27,136.029999,138.42,136.0,136.41,23436500
GOOGL,2023-11-28,136.080002,137.25,135.42,137.2,18730000
GOOGL,2023-11-29,137.57001,138.28999,134.84,134.99001,23967200
GOOGL,2023-11-30,135.050003,135.55,131.28,132.53,38988300
GOOGL,2023-12-01,131.86,132.11,130.67,131.86,31431200
GOOGL,2023-12-04,129.88,130.029999,127.9,129.27,36669900
GOOGL,2023-12-05,128.95,132.14,128.25,130.99001,27384800
GOOGL,2023-12-06,131.44,131.84,129.88,130.020004,23576200
GOOGL,2023-12-07,135.039993,138.56,134.7,136.92999,56767100
GOOGL,2023-12-08,134.2,136.39999,134.029999,134.99001,32233900
GOOGL,2023-12-11,132.38,133.34,131.36,133.28999,31138000
GOOGL,2023-12-12,131.81,133.0,131.25999,132.52,29032800
GOOGL,2023-12-13,133.38,133.5,131.57001,132.57001,30104800
GOOGL,2023-12-14,133.38,133.72,129.69,131.94,38722400
GOOGL,2023-12-15,131.62,133.50999,131.17999,132.60001,50815200
GOOGL,2023-12-18,132.63,137.14999,132.42999,135.8,32258000
GOOGL,2023-12-19,136.84,137.47,136.080002,136.64999,25476800
GOOGL,2023-12-20,138.97,141.7,138.070007,138.34,49107200
GOOGL,2023-12-21,139.49001,140.69,139.17999,140.42,27488300
GOOGL,2023-12-22,140.77,141.99001,140.71001,141.49001,26514600
GOOGL,2023-12-26,141.59,142.67999,141.19,141.52,16780300
GOOGL,2023-12-27,141.59,142.080002,139.89,140.37,19628600
GOOGL,2023-12-28,140.78,141.14,139.75,140.23,16045700
GOOGL,2023-12-29,139.63,140.36,138.78,139.69,18727200
GOOGL,2024-01-02,138.55,139.45,136.48,138.17,23711200
GOOGL,2024-01-03,137.25,139.63,137.080002,138.92,24212100
GOOGL,2024-01-04,138.42,139.16,136.35001,136.39,27137700
GOOGL,2024-01-05,136.75,137.16,135.14999,135.73,22506000
GOOGL,2024-01-08,136.28999,139.0099945,136.25999,138.84,21404000
GOOGL,2024-01-09,138.5,141.49001,138.14999,140.95,24759600
GOOGL,2024-01-10,141.0,143.0,140.91,142.28,21320200
GOOGL,2024-01-11,143.49001,145.22,140.64,142.080002,24008700
