Symbol,Date,Open,High,Low,Close,Volume
AMZN,2023-11-16,140.91,143.32001,139.52,142.83,49653500
AMZN,2023-11-17,142.66,145.23,142.53999,145.17999,49636700
AMZN,2023-11-20,145.13,146.63,144.73,146.13,41951200
AMZN,2023-11-21,143.91,144.050003,141.5,143.89999,71226000
AMZN,2023-11-22,144.57001,147.74001,144.57001,146.71001,45669100
AMZN,2023-11-24,146.7,147.2,145.32001,146.74001,22378400
AMZN,2023-11-27,147.53,149.25999,146.88,147.73,53762400
AMZN,2023-11-28,146.98,147.60001,145.53,147.029999,42711700
AMZN,2023-11-29,147.85001,148.53999,145.97,146.32001,40610900
AMZN,2023-11-30,144.75999,146.92999,144.33,146.089996,65814000
AMZN,2023-12-01,146.0,147.25,145.55,147.029999,39924600
AMZN,2023-12-04,145.25,145.35001,142.81,144.84,48294200
AMZN,2023-12-05,143.55,148.57001,143.13,146.88,46822400
AMZN,2023-12-06,147.58,147.85001,144.28,144.52,39679000
AMZN,2023-12-07,146.14999,147.92,145.34,146.88,52352800
AMZN,2023-12-08,145.48,147.84,145.39999,147.42,41858000
AMZN,2023-12-11,145.66,146.19,143.64,145.89,50907300
AMZN,2023-12-12,145.52,147.5,145.3,147.48,44944300
AMZN,2023-12-13,148.12,149.46001,146.82001,148.84,52766200
AMZN,2023-12-14,149.92999,150.53999,145.52,147.42,58400800
AMZN,2023-12-15,148.38,150.57001,147.88,149.97,110039100
AMZN,2023-12-18,150.56,154.85001,150.050003,154.070007,62512800
AMZN,2023-12-19,154.39999,155.12,152.69,153.78999,43171300
AMZN,2023-12-20,152.89999,155.63,151.56,152.12,50322100
AMZN,2023-12-21,153.3,153.97,152.10001,153.84,36305700
AMZN,2023-12-22,153.77,154.35001,152.71001,153.42,29480100
AMZN,2023-12-26,153.56,153.98,153.029999,153.41,25067200
AMZN,2023-12-27,153.56,154.78,153.12,153.34,31434700
AMZN,2023-12-28,153.72,154.080002,152.95,153.38,27057000
AMZN,2023-12-29,153.10001,153.89,151.029999,151.94,39789000
AMZN,2024-01-02,151.53999,152.38,148.39,149.92999,47339400
AMZN,2024-01-03,149.2,151.050003,148.33,148.47,49425500
AMZN,2024-01-04,145.59,147.38,144.050003,144.57001,56039800
AMZN,2024-01-05,144.69,146.59,144.53,145.24001,45124800
AMZN,2024-01-08,146.74001,149.39999,146.14999,149.10001,46757100
AMZN,2024-01-09,148.33,151.71001,148.21001,151.37,43812600
AMZN,2024-01-10,152.059998,154.42,151.88,153.73,44421800
AMZN,2024-01-11,155.039993,157.17,153.12,155.17999,49072700
AMZN,2024-01-12,155.39,156.2,154.0099945,154.62,40460300
AMZN,2024-01-16,153.53,154.99001,152.14999,153.16,41384600
AMZN,2024-01-17,151.49001,152.14999,149.91,151.71001,34953400
AMZN,2024-01-18,152.77,153.78,151.82001,153.5,37850200
AMZN,2024-01-19,153.83,155.75999,152.74001,155.34,51033700
AMZN,2024-01-22,156.89,157.050003,153.89999,154.78,43687500
AMZN,2024-01-23,154.85001,156.21001,153.92999,156.020004,37986000
AMZN,2024-01-24,157.8,158.50999,156.48,156.87,48547300
AMZN,2024-01-25,156.95,158.50999,154.55,157.75,43638600
AMZN,2024-01-26,158.42,160.72,157.91,159.12,51047400
AMZN,2024-01-29,159.34,161.28999,158.89999,161.25999,45270400
AMZN,2024-01-30,160.7,161.73,158.49001,159.0,45207400
AMZN,2024-01-31,157.0,159.0099945,154.81,155.2,50284400
AMZN,2024-02-01,155.87,159.75999,155.62,159.28,76542400
AMZN,2024-02-02,169.19,172.5,167.33,171.81,117154900
AMZN,2024-02-05,170.2,170.55,167.7,170.31,55081300
AMZN,2024-02-06,169.39,170.71001,167.64999,169.14999,42505500
AMZN,2024-02-07,169.48,170.88,168.94,170.53,47174100
AMZN,2024-02-08,169.64999,171.42999,168.88,169.84,42316500
AMZN,2024-02-09,170.89999,175.0,170.58,174.45,56986000
AMZN,2024-02-12,174.8,175.39,171.53999,172.34,51050400
AMZN,2024-02-13,167.73,170.95,165.75,168.64,56345100
AMZN,2024-02-14,169.21001,171.21001,168.28,170.98,42815500
AMZN,2024-02-15,170.58,171.17,167.59,169.8,49855200
AMZN,2024-02-16,168.74001,170.42,167.17,169.50999,48074600
AMZN,2024-02-20,167.83,168.71001,165.74001,167.080002,41980300
AMZN,2024-02-21,168.94,170.23,167.14,168.59,44575600
AMZN,2024-02-22,173.10001,174.8,171.77,174.58,55392400
AMZN,2024-02-23,174.28,175.75,173.7,174.99001,59715200
AMZN,2024-02-26,175.7,176.37,174.25999,174.73,44368600
AMZN,2024-02-27,174.080002,174.62,172.86,173.53999,31141700
AMZN,2024-02-28,172.44,174.050003,172.27,173.16,28180500
AMZN,2024-02-29,173.0099945,177.22,172.85001,176.75999,53805400
AMZN,2024-03-01,176.75,178.73,176.070007,178.22,31956200
AMZN,2024-03-04,177.53,180.14,177.49001,177.58,37381500
AMZN,2024-03-05,176.92999,176.92999,173.3,174.12,37228300
AMZN,2024-03-06,175.53999,176.46001,173.25999,173.50999,32090900
AMZN,2024-03-07,174.83,177.99001,173.72,176.82001,34063300
AMZN,2024-03-08,176.44,178.78999,174.33,175.35001,37853500
